╭─────────────────────────────────────────┬─────────────────────────────────────────┬─────────────────────────────────────────┬─────────────────────────────────────────╮
│                      balance_lp_staging │                   customer_entity_delta │                                   email │                                       1 │
│                      balance_lp_staging │                   customer_entity_delta │                              first_name │                                       1 │
│                      balance_lp_staging │                   customer_entity_delta │                                  gender │                                       1 │
│                      balance_lp_staging │                   customer_entity_delta │                               last_name │                                       1 │
│                      balance_lp_staging │                   customer_entity_delta │                             middle_name │                                       1 │
│                      balance_lp_staging │             customer_phone_entity_delta │                            carrier_name │                                       1 │
│                      balance_lp_staging │                               documents │                                    name │                                       1 │
│                      balance_lp_staging │                       epic_customer_fix │                                 address │                                       1 │
│                      balance_lp_staging │                       epic_customer_fix │                                address2 │                                       1 │
│                      balance_lp_staging │                       epic_customer_fix │                                bankname │                                       1 │
│                      balance_lp_staging │                       epic_customer_fix │                                    city │                                       1 │
│                      balance_lp_staging │                       epic_customer_fix │                                 dlstate │                                       1 │
│                      balance_lp_staging │                       epic_customer_fix │                            emailaddress │                                       1 │
│                      balance_lp_staging │                       epic_customer_fix │                            employername │                                       1 │
│                      balance_lp_staging │                       epic_customer_fix │                       employmentaddress │                                       1 │
│                      balance_lp_staging │                       epic_customer_fix │                      employmentaddress2 │                                       1 │
│                      balance_lp_staging │                       epic_customer_fix │                          employmentcity │                                       1 │
│                      balance_lp_staging │                       epic_customer_fix │                       employmentstateid │                                       1 │
│                      balance_lp_staging │                       epic_customer_fix │                               firstname │                                       1 │
│                      balance_lp_staging │                       epic_customer_fix │                                  gender │                                       1 │
│                      balance_lp_staging │                       epic_customer_fix │                                lastname │                                       1 │
│                      balance_lp_staging │                       epic_customer_fix │                              middlename │                                       1 │
│                      balance_lp_staging │                       epic_customer_fix │                                     ssn │                                       1 │
│                      balance_lp_staging │                       epic_customer_fix │                                    ssn4 │                                       1 │
│                      balance_lp_staging │                       epic_customer_fix │                                 stateid │                                       1 │
│                      balance_lp_staging │                       epic_customer_fix │                          supervisorname │                                       1 │
│                      balance_lp_staging │                       epic_old_backfill │                        leadprovidername │                                       1 │
│                      balance_lp_staging │                       epic_old_backfill │                                   state │                                       1 │
│                      balance_lp_staging │                       epic_old_backfill │                               storename │                                       1 │
│                      balance_lp_staging │                         exp_dm_analysis │                               bank_name │                                       1 │
│                      balance_lp_staging │                         exp_dm_analysis │                           email_address │                                       1 │
│                      balance_lp_staging │                         exp_dm_analysis │                           employer_name │                                       1 │
│                      balance_lp_staging │                         exp_dm_analysis │                              first_name │                                       1 │
│                      balance_lp_staging │                         exp_dm_analysis │                              ip_address │                                       1 │
│                      balance_lp_staging │                         exp_dm_analysis │                               last_name │                                       1 │
│                      balance_lp_staging │                         exp_dm_analysis │                         name_on_account │                                       1 │
│                      balance_lp_staging │                         exp_dm_analysis │                       primary_addr_city │                                       1 │
│                      balance_lp_staging │                         exp_dm_analysis │                        spouse_addr_city │                                       1 │
│                      balance_lp_staging │                         exp_dm_analysis │                       spouse_first_name │                                       1 │
│                      balance_lp_staging │                         exp_dm_analysis │                        spouse_last_name │                                       1 │
│                      balance_lp_staging │                         exp_dm_analysis │                                     ssn │                                       1 │
│                      balance_lp_staging │                  leads_check_march_2021 │                                   email │                                       1 │
│                      balance_lp_staging │                  leads_check_march_2021 │                              ip_address │                                       1 │
│                      balance_lp_staging │                  leads_check_march_2021 │                                   state │                                       1 │
│                      balance_lp_staging │                            loan_autopay │                                    name │                                       1 │
│                      balance_lp_staging │                     loan_autopay_insert │                                    name │                                       1 │
│                      balance_lp_staging │            loan_autopay_insert_skeleton │                                    name │                                       1 │
│                      balance_lp_staging │                loan_autopay_single_sync │                                    name │                                       1 │
│                      balance_lp_staging │         loan_autopay_single_sync_insert │                                    name │                                       1 │
│                      balance_lp_staging │         loan_autopay_single_sync_update │                                    name │                                       1 │
│                      balance_lp_staging │                   loan_autopay_skeleton │                                    name │                                       1 │
│                      balance_lp_staging │                     loan_autopay_update │                                    name │                                       1 │
│                      balance_lp_staging │            loan_autopay_update_skeleton │                                    name │                                       1 │
│                      balance_lp_staging │                  missing_loans_app_link │                                   email │                                       1 │
│                      balance_lp_staging │            missing_loans_app_link_email │                                   email │                                       1 │
│                      balance_lp_staging │         missing_loans_app_link_no_email │                                   email │                                       1 │
│                      balance_lp_staging │                             offers_view │                              state_code │                                       1 │
│                      balance_lp_staging │                      old_epic_customers │                                 address │                                       1 │
│                      balance_lp_staging │                      old_epic_customers │                                address2 │                                       1 │
│                      balance_lp_staging │                      old_epic_customers │                                bankname │                                       1 │
│                      balance_lp_staging │                      old_epic_customers │                                    city │                                       1 │
│                      balance_lp_staging │                      old_epic_customers │                                 dlstate │                                       1 │
│                      balance_lp_staging │                      old_epic_customers │                            emailaddress │                                       1 │
│                      balance_lp_staging │                      old_epic_customers │                            employername │                                       1 │
│                      balance_lp_staging │                      old_epic_customers │                       employmentaddress │                                       1 │
│                      balance_lp_staging │                      old_epic_customers │                      employmentaddress2 │                                       1 │
│                      balance_lp_staging │                      old_epic_customers │                          employmentcity │                                       1 │
│                      balance_lp_staging │                      old_epic_customers │                       employmentstateid │                                       1 │
│                      balance_lp_staging │                      old_epic_customers │                               firstname │                                       1 │
│                      balance_lp_staging │                      old_epic_customers │                                  gender │                                       1 │
│                      balance_lp_staging │                      old_epic_customers │                                lastname │                                       1 │
│                      balance_lp_staging │                      old_epic_customers │                              middlename │                                       1 │
│                      balance_lp_staging │                      old_epic_customers │                                     ssn │                                       1 │
│                      balance_lp_staging │                      old_epic_customers │                                    ssn4 │                                       1 │
│                      balance_lp_staging │                      old_epic_customers │                                 stateid │                                       1 │
│                      balance_lp_staging │                      old_epic_customers │                          supervisorname │                                       1 │
│                      balance_lp_staging │                          old_epic_loans │                        leadprovidername │                                       1 │
│                      balance_lp_staging │                          old_epic_loans │                                   state │                                       1 │
│                      balance_lp_staging │                          old_epic_loans │                               storename │                                       1 │
│                      balance_lp_staging │                   payemnt_check_reverse │                     payment_method_name │                                       1 │
│                      balance_lp_staging │                   payment_receipt_audit │                                   email │                                       1 │
│                      balance_lp_staging │                   payment_receipt_audit │                              first_name │                                       1 │
│                      balance_lp_staging │                   payment_receipt_audit │                               last_name │                                       1 │
│                      balance_lp_staging │                   payment_receipt_audit │                              state_name │                                       1 │
│                      balance_lp_staging │             payment_receipt_audit_delta │                                   email │                                       1 │
│                      balance_lp_staging │             payment_receipt_audit_delta │                              first_name │                                       1 │
│                      balance_lp_staging │             payment_receipt_audit_delta │                               last_name │                                       1 │
│                      balance_lp_staging │             payment_receipt_audit_delta │                              state_name │                                       1 │
│                      balance_lp_staging │                          person_f_delta │                              first_name │                                       1 │
│                      balance_lp_staging │                          person_f_delta │                               last_name │                                       1 │
│                      balance_lp_staging │                                psnb_646 │                             accountname │                                       1 │
│                      balance_lp_staging │                                psnb_646 │                  claritycontrolfilename │                                       1 │
│                      balance_lp_staging │                                psnb_658 │                             accountname │                                       1 │
│                      balance_lp_staging │                                psnb_658 │                  claritycontrolfilename │                                       1 │
│                      balance_lp_staging │                           refi_backfill │                              state_name │                                       1 │
│                      balance_lp_staging │                               refi_temp │                        bc_email_address │                                       1 │
│                      balance_lp_staging │                               refi_temp │                       bsf_email_address │                                       1 │
│                      balance_lp_staging │                               refi_temp │                              state_code │                                       1 │
│                      balance_lp_staging │             sendgrid_email_log_backfill │                              from_email │                                       1 │
│                      balance_lp_staging │                           statement_csv │                           address_line1 │                                       1 │
│                      balance_lp_staging │                           statement_csv │                           address_line2 │                                       1 │
│                      balance_lp_staging │                           statement_csv │                           customer_name │                                       1 │
│                      balance_lp_staging │                             temp_passwd │                                   email │                                       1 │
│                      balance_lp_staging │                             temp_passwd │                                password │                                       1 │
│                      balance_lp_staging │               user_account_import_delta │                                   email │                                       1 │
│                      balance_lp_staging │               user_account_import_delta │                                ssn_epic │                                       1 │
│                      balance_lp_staging │               user_account_import_delta │                                ssn_last │                                       1 │
│                      balance_lp_staging │               user_account_import_delta │                                  ssn_lp │                                       1 │
│                      balance_lp_staging │               user_account_import_delta │                                ssn_none │                                       1 │
│                      balance_lp_staging │        user_account_import_delta_errors │                                   email │                                       1 │
│                      balance_lp_staging │        user_account_import_delta_errors │                                ssn_epic │                                       1 │
│                      balance_lp_staging │        user_account_import_delta_errors │                                ssn_last │                                       1 │
│                      balance_lp_staging │        user_account_import_delta_errors │                                  ssn_lp │                                       1 │
│                      balance_lp_staging │        user_account_import_delta_errors │                                ssn_none │                                       1 │
│                                   batch │             batch_cloudwatch_error_logs │                         log_stream_name │                                       1 │
│                                   batch │              batch_job_execution_params │                                key_name │                                       1 │
│                                   batch │                      batch_job_instance │                                job_name │                                       1 │
│                                   batch │                   batch_job_sqs_metrics │                              queue_name │                                       1 │
│                                   batch │                    batch_step_execution │                               step_name │                                       1 │
│                                   batch │                      qrtz_blob_triggers │                              sched_name │                                       1 │
│                                   batch │                      qrtz_blob_triggers │                            trigger_name │                                       1 │
│                                   batch │                          qrtz_calendars │                           calendar_name │                                       1 │
│                                   batch │                          qrtz_calendars │                              sched_name │                                       1 │
│                                   batch │                      qrtz_cron_triggers │                              sched_name │                                       1 │
│                                   batch │                      qrtz_cron_triggers │                            time_zone_id │                                       1 │
│                                   batch │                      qrtz_cron_triggers │                            trigger_name │                                       1 │
│                                   batch │                     qrtz_fired_triggers │                           instance_name │                                       1 │
│                                   batch │                     qrtz_fired_triggers │                                job_name │                                       1 │
│                                   batch │                     qrtz_fired_triggers │                              sched_name │                                       1 │
│                                   batch │                     qrtz_fired_triggers │                                   state │                                       1 │
